id,TED_result
test-0,0
test-1,0
test-2,0
test-3,0
test-4,1
test-5,0
test-6,0
test-7,1
test-8,0
test-9,0
test-10,0
test-11,1
test-12,0
test-13,1
test-14,0
test-15,0
test-16,1
test-17,0
test-18,1
test-19,1
test-20,0
test-21,0
test-22,0
test-23,1
test-24,0
test-25,1
test-26,0
test-27,0
test-28,1
test-29,0
test-30,1
test-31,0
test-32,0
test-33,0
test-34,0
test-35,0
test-36,0
test-37,0
test-38,1
test-39,1
test-40,1
test-41,1
test-42,1
test-43,1
test-44,1
test-45,1
test-46,0
test-47,0
test-48,1
test-49,0
test-50,1
test-51,1
test-52,0
test-53,0
test-54,0
test-55,1
test-56,1
test-57,0
test-58,1
test-59,0
test-60,0
test-61,1
test-62,1
test-63,0
test-64,0
test-65,1
test-66,0
test-67,0
test-68,1
test-69,0
test-70,1
test-71,0
test-72,1
test-73,0
test-74,0
test-75,0
test-76,0
test-77,0
test-78,0
test-79,1
test-80,0
test-81,1
test-82,1
test-83,0
test-84,0
test-85,0
test-86,0
test-87,0
test-88,1
test-89,0
test-90,1
test-91,0
test-92,0
test-93,1
test-94,1
test-95,1
test-96,0
test-97,0
test-98,1
test-99,0
